Fine-Tuning,M1,M2,M3,MHu2,MHd2,signmu,Mq2ii,Ml2ii,Mu2ii,Md2ii,Me2ii,Mq233,Ml233,Mu233,Md233,Me233,Tu33,Td33,Te33,tanb
753.544619,380.126953,1497.80273,395.874023,-1491943.36,2590576.17,-1,6443481.45,8082641.6,40649.4141,5245971.68,1187622.07,1642456.05,8695678.71,2400512.7,1879760.74,6553344.73,1943.11523,380.126953,743.408203,27.4462891
591.239997,-1155.0293,-2920.16602,682.983398,160400.391,6211669.92,-1,5933715.82,295532.227,1007446.29,4419799.8,2048950.2,4191284.18,205444.336,4773559.57,4428588.87,7344360.35,1204.83398,-1155.0293,-1072.99805,47.5244141
464.51991,-405.029297,829.833984,1057.9834,6910400.39,3961669.92,-1,7058715.82,5920532.23,6632446.29,1044799.8,3173950.2,3066284.18,3580444.34,8148559.57,1053588.87,8469360.35,-1045.16602,-405.029297,-322.998047,12.5244141
816.74569,-1521.24023,-2542.23633,1203.00293,6919189.45,5956787.11,-1,6843383.79,8095825.2,2119262.7,1040405.27,3609008.79,1954467.77,4287963.87,8372680.66,3246459.96,1732543.95,-2682.86133,-1521.24023,-747.802734,33.9501953
933.837388,799.072266,59.3261719,1988.15918,5442626.95,5042724.61,-1,4417602.54,3630981.45,7779418.95,1778686.52,5964477.54,1075561.52,8260620.12,5103149.41,7500366.21,6830200.2,2356.20117,799.072266,-114.990234,19.7314453
951.61134,-197.021484,1711.66992,599.487305,4844970.7,5781005.86,-1,1376586.91,3437622.07,2101684.57,2077514.65,1798461.91,8300170.9,3848510.74,8003540.04,5584350.59,5687622.07,2766.35742,-197.021484,-384.521484,18.8720703
489.372442,177.978516,2836.66992,786.987305,3719970.7,4656005.86,-1,1939086.91,6250122.07,3789184.57,2640014.65,2360961.91,8862670.9,3286010.74,8566040.04,521850.586,8500122.07,1641.35742,177.978516,2240.47852,46.3720703
254.495231,740.478516,-1475.83008,880.737305,4282470.7,1843505.86,-1,3907836.91,906372.07,4070434.57,2358764.65,2642211.91,4643920.9,5254760.74,3222290.04,4178100.59,5968872.07,1828.85742,740.478516,-197.021484,20.1220703
512.402861,881.103516,2883.54492,1326.0498,485595.703,5359130.86,-1,2009399.41,8711059.57,4421997.07,4257202.15,3978149.41,4854858.4,262573.242,58227.5391,8467163.09,5617309.57,2438.23242,881.103516,-150.146484,34.1845703
836.994645,-2556.88477,173.583984,1137.08496,366943.359,6185302.73,-1,4408813.48,2646606.45,1288696.29,5626098.63,2602661.13,2235717.77,6368774.41,4197875.98,5643676.76,4239624.02,173.583984,-1011.47461,-904.541016,10.5517578
309.94504,605.712891,334.716797,684.448242,3772705.08,8048583.98,-1,3108032.23,8104614.26,5854614.26,2613647.46,2053344.73,2121459.96,7671752.93,5041625.98,6806030.27,7717895.51,-1411.37695,605.712891,-62.2558594,12.9736328
955.822217,-1667.72461,-2548.0957,953.979492,4405517.58,8822021.48,-1,4338500.98,2936645.51,3499145.51,2297241.21,2861938.48,3703491.21,1589721.68,7467407.23,8598999.02,7471801.76,-2841.06445,-1667.72461,-132.568359,15.0048828
825.27112,687.744141,2455.81055,702.026367,-3996826.17,-494384.766,-1,6254516.6,176879.883,2989379.88,6498413.09,2106079.1,416381.836,939331.055,1930297.85,6155639.65,3622192.38,850.341797,687.744141,-777.099609,28.5205078
982.839563,-109.130859,-1528.56445,1569.21387,-481201.172,1333740.23,-1,7731079.1,2215942.38,5590942.38,4740600.59,4707641.6,908569.336,2697143.55,3688110.35,1866577.15,2708129.88,334.716797,-109.130859,1051.02539,13.8330078
893.755346,-507.568359,1963.62305,1112.18262,4651611.33,5482177.73,-1,5938110.35,5415161.13,7102661.13,2174194.34,3336547.85,5514038.09,7161987.3,8012329.1,7315795.9,2883911.13,-1610.5957,-507.568359,-847.412109,39.3017578
773.676421,-16.4794922,1153.93066,1328.43018,6597290.04,1334838.87,-1,1417785.64,4325866.7,5450866.7,1201354.98,3985290.53,1504577.64,6429748.54,5057556.15,2113220.21,3277771,-1687.13379,-16.4794922,197.387695,11.4135742
541.188393,1284.30176,-967.163086,560.852051,1148071.29,8682495.12,-1,5021301.27,8210632.32,8773132.32,3925964.36,1682556.15,4651062.01,1877014.16,6516540.53,6033142.09,7971130.37,-597.290039,1284.30176,771.606445,29.3041992
505.892432,299.926758,2548.46191,256.164551,2976196.29,3198120.12,-1,7622863.77,265319.824,8702819.82,3011901.86,768493.652,4861999.51,5884826.66,7993103.03,1603454.59,7478942.87,-1487.91504,299.926758,1099.73145,35.2416992
533.811864,1049.92676,-1201.53809,1381.16455,5226196.29,5448120.12,-1,6497863.77,5890319.82,3077819.82,1886901.86,4143493.65,5986999.51,7009826.66,4618103.03,2728454.59,8603942.87,762.084961,1049.92676,349.731445,20.2416992
405.921299,1401.48926,-2443.72559,572.570801,-1172241.21,6221557.62,-1,64270.0195,7612976.07,1425476.07,5086120.61,1717712.4,3279968.26,6412170.41,4161071.78,5154235.84,1185974.12,738.647461,1401.48926,-470.581055,36.9604492
565.293317,-286.010742,-1506.22559,478.820801,-609741.211,7909057.62,-1,1470520.02,19226.0742,6769226.07,4804870.61,1436462.4,748718.262,1630920.41,6129821.78,935485.84,342224.121,-1323.85254,-286.010742,-1033.08105,18.2104492
448.332003,1184.69238,-1594.11621,147.766113,5278930.66,8805541.99,-1,7578918.46,8465515.14,5442077.64,1860534.67,443298.34,3728210.45,2254943.85,8986267.09,4600524.9,7839294.43,-2126.58691,1184.69238,-1964.72168,39.1088867
